Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
Radial Distance from Sun,160,0.0095917880466062,5.231699854699699e-05,1.0,IBS_N
Electronic Box Temperature,160,37.72731560859685,0.20577809958753498,1.0,IBS_N
Outboard Sensor Temperature,160,22.535604043257752,0.12291714102293697,1.0,IBS_N
Inboard Sensor Temperature,160,33.301030817024966,0.18163557956060467,1.0,IBS_N
Solar Array's Angle,160,20.510440617338144,0.11187118468023449,1.0,IBS_N
High Gain Antenna Azimuth,160,15.97669120890008,0.08714251469074,1.0,IBS_N
High Gain Antenna Elevation,160,8.013474373044023,0.043708318521412604,1.0,IBS_N
Heater Dutycycle,160,6.297848444465526,0.034350688976586545,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,160,3.607477050584644,0.019676453513851336,1.0,IBS_N
2.5V_PCU_ELB,170,20.40546627295753,0.07694617581400641,0.9999999999999998,IBS_N
Radial Distance from Sun,170,0.010134122521539,3.821436681877898e-05,0.9999999999999998,IBS_N
Electronic Box Temperature,170,46.23517964542968,0.17434643316649723,0.9999999999999998,IBS_N
Outboard Sensor Temperature,170,9.55799546373776,0.03604187179770073,0.9999999999999998,IBS_N
Inboard Sensor Temperature,170,21.17042301035601,0.07983072129895706,0.9999999999999998,IBS_N
Solar Array's Angle,170,24.20112495782729,0.09125907690575971,0.9999999999999998,IBS_N
High Gain Antenna Azimuth,170,66.07519021055575,0.2491603541362468,0.9999999999999998,IBS_N
High Gain Antenna Elevation,170,32.44410384601164,0.12234220405791604,0.9999999999999998,IBS_N
Heater Dutycycle,170,36.225545706554136,0.1366014954820651,0.9999999999999998,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,170,8.866265150060062,0.0334334529740319,0.9999999999999998,IBS_N
2.5V_PCU_ELB,180,48.98196982280949,0.15813636365415706,0.9999999999999999,IBS_N
Radial Distance from Sun,180,0.0107513338208556,3.4710258509659525e-05,0.9999999999999999,IBS_N
Electronic Box Temperature,180,21.37198288647278,0.06899860642541691,0.9999999999999999,IBS_N
Outboard Sensor Temperature,180,59.04146611781056,0.19061305191390845,0.9999999999999999,IBS_N
Inboard Sensor Temperature,180,4.632139624775627,0.014954680647801154,0.9999999999999999,IBS_N
Solar Array's Angle,180,9.8997161975855,0.03196084449762816,0.9999999999999999,IBS_N
